100000, 0.434519, 419451381762.394348
200000, 0.687576, 1258354145287.784912
300000, 0.975087, 2516708290557.379883
400000, 1.223193, 4194513817510.504883
500000, 1.468640, 6291770726201.911133
600000, 1.752213, 8808479016634.484375
700000, 2.049421, 11744638689486.046875
800000, 2.298683, 15100249744173.546875
900000, 2.588313, 18875312176514.671875
1000000, 2.870111, 23069825981202.171875
